TempAvgF,DewPointAvgF,HumidityAvgPercent,SeaLevelPressureAvgInches,VisibilityAvgMiles,WindAvgMPH,WindGustMPH,Events
60,49,75,29.68,7,4,31,"Rain , Thunderstorm"
48,36,68,30.13,10,6,25,not rainy
45,27,52,30.49,10,3,12,not rainy
46,28,56,30.45,10,4,20,not rainy
50,40,71,30.33,10,2,16,not rainy
48,36,63,30.4,9,3,17,not rainy
53,39,65,30.39,9,1,11,not rainy
51,39,64,30.17,10,2,14,not rainy
50,41,76,30.1,10,5,24,not rainy
40,26,60,30.33,10,5,21,not rainy
46,28,54,30.39,10,1,12,not rainy
54,42,68,30.11,10,4,22,not rainy
44,26,55,30.37,10,8,31,not rainy
43,22,49,30.35,10,4,21,not rainy
57,48,68,29.95,10,7,28,not rainy
47,32,59,30.08,10,10,34,not rainy
29,8,38,30.68,10,7,27,not rainy
35,11,43,30.52,10,5,22,not rainy
47,45,75,30.2,2,1,18,Rain
62,55,80,30.11,4,3,19,Fog
65,61,81,29.87,8,6,21,Rain
62,37,53,30.06,9,3,19,not rainy
57,47,68,30.01,10,4,24,Rain
57,36,51,30.01,9,7,29,not rainy
57,25,41,30.13,10,5,29,not rainy
52,23,35,30.33,10,4,21,not rainy
56,27,38,30.13,10,4,20,not rainy
54,20,31,30.29,10,5,21,not rainy
54,33,45,30.19,10,2,19,not rainy
59,30,39,30.22,10,3,16,not rainy
64,36,44,30,10,5,26,not rainy
51,23,39,30.31,10,6,25,not rainy
54,27,45,30.11,10,4,18,not rainy
42,29,64,30.47,8,9,31,"Rain , Snow"
33,17,60,30.63,9,5,24,not rainy
48,27,53,30.19,10,1,14,not rainy
60,39,52,29.84,10,3,20,not rainy
47,23,44,30.09,10,9,32,Rain
33,14,48,30.4,10,6,23,Rain
38,13,42,30.41,10,5,23,not rainy
48,36,64,30.06,10,7,27,not rainy
68,54,64,29.87,10,9,25,not rainy
66,59,71,29.81,10,6,26,Rain
45,33,69,30.09,8,11,29,Rain
40,33,74,30.17,6,6,17,not rainy
53,41,68,29.95,6,2,18,Rain
40,26,60,30.37,10,10,24,not rainy
29,15,54,30.48,10,8,23,not rainy
34,24,68,30.32,7,3,12,not rainy
51,36,63,30.17,7,5,21,not rainy
59,45,70,30.05,5,4,20,Fog
48,36,74,30.15,8,9,23,Rain
35,29,80,30.24,5,9,23,Rain
45,29,57,30.18,9,5,22,not rainy
51,34,58,30.02,10,4,19,not rainy
67,37,51,29.93,10,6,30,not rainy
59,35,43,30.09,10,5,23,not rainy
68,57,74,30.01,5,5,23,Fog
70,50,52,30.03,8,5,23,not rainy
69,53,55,30,10,4,20,not rainy
73,60,70,29.85,9,7,25,not rainy
70,50,48,29.85,9,8,28,not rainy
57,27,43,30.11,10,5,20,not rainy
63,46,53,29.96,10,6,22,not rainy
74,56,57,29.95,10,4,24,not rainy
66,51,65,30.04,9,4,18,not rainy
62,60,85,30.01,4,5,20,Rain
